iso3,country,hdicode,region,gii_rank_2019,gii_1995,gii_2000,gii_2005,gii_2010,gii_2011,gii_2012,gii_2013,gii_2014,gii_2015,gii_2016,gii_2017,gii_2018,gii_2019,mmr_1995,mmr_2000,mmr_2005,mmr_2010,mmr_2011,mmr_2012,mmr_2013,mmr_2014,mmr_2015,mmr_2016,mmr_2017,abr_1995,abr_2000,abr_2005,abr_2010,abr_2011,abr_2012,abr_2013,abr_2014,abr_2015,abr_2016,abr_2017,abr_2018,abr_2019,se_f_1995,se_f_2000,se_f_2005,se_f_2010,se_f_2011,se_f_2012,se_f_2013,se_f_2014,se_f_2015,se_f_2016,se_f_2017,se_f_2018,se_f_2019,se_m_1995,se_m_2000,se_m_2005,se_m_2010,se_m_2011,se_m_2012,se_m_2013,se_m_2014,se_m_2015,se_m_2016,se_m_2017,se_m_2018,se_m_2019,pr_f_1995,pr_f_1997,pr_f_2000,pr_f_2005,pr_f_2010,pr_f_2011,pr_f_2012,pr_f_2013,pr_f_2014,pr_f_2015,pr_f_2016,pr_f_2017,pr_f_2018,pr_f_2019,pr_m_1995,pr_m_1997,pr_m_2000,pr_m_2005,pr_m_2010,pr_m_2011,pr_m_2012,pr_m_2013,pr_m_2014,pr_m_2015,pr_m_2016,pr_m_2017,pr_m_2018,pr_m_2019,lfpr_f_1995,lfpr_f_2000,lfpr_f_2005,lfpr_f_2010,lfpr_f_2011,lfpr_f_2012,lfpr_f_2013,lfpr_f_2014,lfpr_f_2015,lfpr_f_2016,lfpr_f_2017,lfpr_f_2018,lfpr_f_2019,lfpr_m_1995,lfpr_m_2000,lfpr_m_2005,lfpr_m_2010,lfpr_m_2011,lfpr_m_2012,lfpr_m_2013,lfpr_m_2014,lfpr_m_2015,lfpr_m_2016,lfpr_m_2017,lfpr_m_2018,lfpr_m_2019
AFG,Afghanistan,Low,SA,157,,,0.745,0.751,0.743,0.734,0.724,0.714,0.702,0.69,0.673,,0.655,1490,1450,1140,954,905,858,810,786,701,673,638,163.929,165.228,146.433,133.092,126.633,120.174,113.715,107.256,100.797,92.837,84.877,76.917,68.957,3.48,4.49,6.28,5.87,6.596,7.322,8.048,8.774,8.774,9.5,11.36,13.22,13.22,15.68,17,22.27,29.78,31.184,32.588,33.992,35.396,35.396,36.8,36.86,36.92,36.92,,,,25.92592593,27.63532764,27.63532764,27.63532764,27.63532764,27.63532764,27.44479495,27.44479495,27.44479495,,27.24358974,,,,74.07407407,72.36467236,72.36467236,72.36467236,72.36467236,72.36467236,72.55520505,72.55520505,72.55520505,,72.75641026,15.242,14.634,15.801,14.935,15.339,15.85,16.765,17.735,18.76,19.84,20.973,21.416,21.595,78.162,78.307,78.82,78.401,78.302,78.208,77.535,76.865,76.198,75.483,74.735,74.707,74.658
AGO,Angola,Medium,SSA,132,,,,,,,,0.537,0.534,0.531,0.539,0.537,0.536,1060,827,519,326,300,281,269,258,251,246,241,213,202.5,192.832,181.229,178.4632,175.6974,172.9316,170.1658,167.4,163.1815,158.963,154.7445,150.526,,,,,,,,22.15636,22.44765178,22.98921258,23.10397623,23.13283672,23.13283672,,,,,,,,36.49482,36.97462089,37.86665205,38.05568485,38.05568485,38.05568485,9.545454545,9.545454545,15.45454545,15,38.63636364,38.18181818,34.09090909,34.09090909,36.81818182,36.81818182,36.81818182,30.45454545,30.45454545,30,90.45454545,90.45454545,84.54545455,85,61.36363636,61.81818182,65.90909091,65.90909091,63.18181818,63.18181818,63.18181818,69.54545455,69.54545455,70,75.727,75.624,75.493,75.767,75.851,75.91,75.971,76.019,76.065,76.108,76.13,76.142,76.136,80.171,79.473,78.76,78.871,79.029,79.077,79.12,79.116,79.105,79.131,79.071,78.981,78.913
ALB,Albania,High,ECA,42,,0.334,0.306,0.242,0.249,0.23,0.221,0.217,0.207,0.205,0.187,0.186,0.181,38,23,22,21,22,17,16,16,15,16,15,18.733,19.33,18.842,18.457,18.9116,19.3662,19.8208,20.2754,20.73,20.458,20.186,19.914,19.642,60.62,70.99,75.43386,80.76939667,81.77317,85.21603,87.70658446,90.19713892,92.68769338,93.09790235,93.09790235,93.50631178,93.69974565,69.92,78.795475,83.12099286,86.91880333,87.8613,89.42938,90.45197132,91.47456263,92.49715395,92.63246849,92.76778303,92.76778303,92.49715395,,,5.161290323,7.142857143,16.42857143,15.71428571,15.71428571,17.85714286,20,20.71428571,22.85714286,27.85714286,27.85714286,29.50819672,,,94.83870968,92.85714286,83.57142857,84.28571429,84.28571429,82.14285714,80,79.28571429,77.14285714,72.14285714,72.14285714,70.49180328,53.526,51.479,47.943,45.761,46.515,47.371,43.311,43.297,46.102,46.451,46.795,46.799,46.712,71.79,71.738,67.112,62.894,63.577,64.345,61.243,62.485,63.83,64.382,64.839,64.724,64.568
AND,Andorra,Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50722843,43.37402,60.75389,63.57309,66.39229,69.21149,72.03069,71.67243,71.48384,71.48384,71.48384,71.48419414,,36.88791786,43.57262,61.49405,64.5345475,67.575045,70.6155425,73.65604,73.65604,73.32658,73.32658,73.32658,73.32658,7.142857143,7.142857143,7.142857143,28.57142857,35.71428571,50,50,50,50,39.28571429,32.14285714,32.14285714,32.14285714,46.42857143,92.85714286,92.85714286,92.85714286,71.42857143,64.28571429,50,50,50,50,60.71428571,67.85714286,67.85714286,67.85714286,53.57142857,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,Very High,AS,18,0.635,0.609,0.592,0.233,0.236,0.226,0.215,0.203,0.175,0.162,0.158,0.142,0.079,9,6,5,4,4,4,3,3,3,3,3,42.272,27.591,25.589,29.897,27.2716,24.6462,22.0208,19.3954,16.77,14.214,11.658,9.102,6.546,55.78,64.4,70.85817,73.11,74.188,75.266,76.344,77.422,77.422,78.5,76.02257,76.02257,76.02257,53.02,61.12,60.05528,63.48781375,62.052,62.864,63.676,64.488,64.488,65.3,81.02851,81.02851,81.02851,0.1,0.1,0.1,0.1,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,50,99.9,99.9,99.9,99.9,77.5,82.5,82.5,82.5,82.5,77.5,77.5,77.5,77.5,50,31.283,33.802,37.294,44.251,45.365,46.555,47.835,49.196,50.588,51.416,52.532,52.352,52.391,92.14,91.515,92.62,94.673,94.479,94.314,94.255,94.373,94.646,93.969,93.457,93.343,93.389
ARG,Argentina,Very High,LAC,75,0.427,0.417,0.372,0.358,0.354,0.351,0.348,0.345,,0.338,0.332,0.328,0.328,72,66,59,51,48,47,44,42,41,40,39,73.555,69.801,64.058,62.938,63.0638,63.1896,63.3154,63.4412,63.567,63.37075,63.1745,62.97825,62.782,41.2,46.1,56.13606429,52.26169,52.98631,55.02254,55.73528,55.85886,56.23073,56.16676,57.66396,59.16116,59.16116,42.33,45.37462,56.65133333,50.08548,51.33061,51.32802,54.08883,52.6823,52.79005,53.04948,53.93868,54.82788,54.82788,22.79635258,22.79635258,21.27659574,37.38601824,37.80487805,37.6899696,37.6899696,37.08206687,37.08206687,37.08206687,37.08206687,38.90577508,39.51367781,39.87730061,77.20364742,77.20364742,78.72340426,62.61398176,62.19512195,62.3100304,62.3100304,62.91793313,62.91793313,,62.91793313,61.09422492,60.48632219,60.12269939,48.018,49.826,49.611,47.952,48.228,48.324,47.942,47.318,48.016,48.699,49.37,50.822,50.721,74.976,75.139,75.458,73.962,74.126,73.725,73.551,73.116,73.025,72.884,72.732,72.812,72.73
ARM,Armenia,High,ECA,54,0.479,0.473,0.392,0.342,0.337,0.32,0.307,0.308,0.309,0.303,0.266,0.264,0.245,54,43,35,32,30,30,26,27,28,26,26,80.067,49.892,32.393,27.785,27.1964,26.6078,26.0192,25.4306,24.842,24.004,23.166,22.328,21.49,87.29,89.97,92.431922,95.509012,96.12443,96.3111175,96.497805,96.6844925,96.87118,96.87118,96.87118,96.87118,97.26805434,90.07,91.89,94.299636,96.684206,97.16112,97.46491416,97.76870832,98.07250248,97.64477,97.398245,97.15172,97.15172,97.15172,6.315789474,6.315789474,3.053435115,5.34351145,9.160305344,8.396946565,10.6870229,10.6870229,10.6870229,10.6870229,10.6870229,18.0952381,18.0952381,23.48484848,93.68421053,93.68421053,96.94656489,94.65648855,90.83969466,91.60305344,89.3129771,89.3129771,89.3129771,89.3129771,89.3129771,81.9047619,81.9047619,76.51515152,46.667,45.726,44.966,47.23,49.746,50.122,50.468,49.803,49.033,47.295,47.144,47.09,47.074,66.124,62.969,61.741,67.828,67.788,67.973,68.07,67.356,66.773,66.356,65.867,65.866,65.887
ATG,Antigua and Barbuda,High,LAC,,,,,,,,,,,,,,,51,44,40,44,43,44,43,42,43,43,42,71.791,65.384,59.702,51.16,50.328,49.496,48.664,47.832,47,45.9455,44.891,43.8365,42.782,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11111111,11.11111111,8.333333333,13.88888889,19.44444444,19.44444444,19.44444444,19.44444444,21.21212121,25.71428571,25.71428571,20,31.42857143,31.42857143,88.88888889,88.88888889,91.66666667,86.11111111,80.55555556,80.55555556,80.55555556,80.55555556,78.78787879,74.28571429,74.28571429,80,68.57142857,68.57142857,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,Very High,,25,0.18,0.16,0.139,0.138,0.132,0.127,0.119,0.116,0.11,0.108,0.104,0.103,0.097,8,7,5,5,6,6,6,6,6,6,6,20.875,19.453,16.919,17.1,16.1404,15.1808,14.2212,13.2616,12.302,12.15525,12.0085,11.86175,11.715,87.87,87.78,90.26198,93.3515,93.74174,94.27822,91.07794,91.31566,90.0339,89.99358,90.59115,91.02507,91.02507,90.26,89.82,91.45808,93.04789,93.47212,94.62242,91.08494,91.62279,89.91948,90.74515,90.46535,90.94452,90.94452,20.53571429,20.53571429,25,28.31858407,28.31858407,29.20353982,29.20353982,31.11111111,30.08849558,30.53097345,31.4159292,32.74336283,32.74336283,36.56387665,79.46428571,79.46428571,75,71.68141593,71.68141593,70.79646018,70.79646018,68.88888889,69.91150442,69.46902655,68.5840708,67.25663717,67.25663717,63.43612335,53.664,54.626,57.063,58.773,59.029,58.912,58.804,58.755,59.185,59.353,59.789,60.384,60.3,73.977,72.34,72.213,72.521,72.32,71.85,71.497,71.078,71.243,70.755,70.802,71.043,70.855
AUT,Austria,Very High,,14,0.186,0.15,0.118,0.111,0.106,0.102,0.093,0.09,0.089,0.087,0.079,0.076,0.069,7,6,6,5,5,5,5,5,5,5,5,20.389,14.789,13.346,11.127,10.5944,10.0618,9.5292,8.9966,8.464,8.183,7.902,7.621,7.34,53.94,76.97,100,100,100,100,100.00001,98.66513,98.66513,98.66513,100,100,100,76.14,88.069995,99.99999,100.00001,100,100.00001,100,99.20063,99.20063,99.9967,99.9967,100,99.78705411,24.69635628,24.69635628,25.10121457,32.24489796,28.27868852,28.68852459,28.68852459,32.24489796,31.42857143,30.32786885,30.32786885,33.60655738,34.83606557,38.52459016,75.30364372,75.30364372,74.89878543,67.75510204,71.72131148,71.31147541,71.31147541,67.75510204,68.57142857,69.67213115,69.67213115,66.39344262,65.16393443,61.47540984,48.808,48.943,50.668,53.507,53.839,54.336,54.599,54.562,54.536,55.01,55.003,55.046,55.059,70.32,68.893,66.129,66.864,66.624,66.648,66.641,66.102,65.993,66.31,66.334,66.699,66.573
